target,analysis_level,n_pairs,model_a,model_b,model_a_mean_absolute_error,model_b_mean_absolute_error,mean_paired_improvement_a_over_b,median_paired_improvement_a_over_b,wilcoxon_statistic,p_value_raw,rank_biserial_a_over_b,lower_mean_error,p_value_holm,significant_holm_0_05
log_gva_per_worker_2023,MSOA_primary,45,Linear Regression,TabPFN,0.4664417395340862,0.410715826016625,-0.055725913517461194,-0.04715028994509607,298.0,0.012437501007923402,-0.4241545893719807,TabPFN,0.037312503023770205,True
log_gva_per_worker_2023,MSOA_primary,45,LightGBM,XGBoost,0.4620958686589775,0.4143258143719119,-0.0477700542870654,-0.03525286992767729,269.0,0.004386159317562033,-0.4801932367149758,XGBoost,0.026316955905372197,True
log_gva_per_worker_2023,MSOA_primary,45,LightGBM,TabPFN,0.4620958686589775,0.410715826016625,-0.051380042642352526,-0.04692862095844674,278.0,0.0061494065418514765,-0.4628019323671498,TabPFN,0.030747032709257383,True
log_gva_per_worker_2023,MSOA_primary,45,XGBoost,TabPFN,0.4143258143719119,0.410715826016625,-0.0036099883552871215,-0.005657234485083484,475.0,0.6385636627978784,-0.0821256038647343,TabPFN,1.0,False
log_gva_per_worker_2023,LSOA_sensitivity,221,Linear Regression,LightGBM,0.4768428225579014,0.45982192976163766,-0.01702089279626367,-0.00764725807622213,11610.0,0.49093846340090974,-0.05344258285434756,LightGBM,0.9818769268018195,False
log_gva_per_worker_2023,LSOA_sensitivity,221,Linear Regression,XGBoost,0.4768428225579014,0.41569746280106307,-0.061145359756838207,-0.05177969820471873,8717.0,0.00019234885589956794,-0.2893074069544658,XGBoost,0.0011540931353974076,True
log_gva_per_worker_2023,LSOA_sensitivity,221,Linear Regression,TabPFN,0.4768428225579014,0.41340194127309554,-0.06344088128480573,-0.054121187716454244,8747.0,0.00021787556712382714,-0.2868615221556398,TabPFN,0.0011540931353974076,True
log_gva_per_worker_2023,LSOA_sensitivity,221,LightGBM,XGBoost,0.45982192976163766,0.41569746280106307,-0.04412446696057454,-0.034128723806324146,9545.0,0.00425281296930688,-0.22180098650686886,XGBoost,0.01701125187722752,True
log_gva_per_worker_2023,LSOA_sensitivity,221,LightGBM,TabPFN,0.45982192976163766,0.41340194127309554,-0.046419988488542056,-0.04031246784719933,9612.0,0.00529741881985561,-0.2163385104561575,TabPFN,0.01701125187722752,True
log_gva_per_worker_2023,LSOA_sensitivity,221,XGBoost,TabPFN,0.41569746280106307,0.41340194127309554,-0.002295521527967516,-0.00037759796056135997,12029.0,0.8037316842135198,-0.019281725164078105,TabPFN,0.9818769268018195,False
log_GVA_2025_predicted,MSOA_primary,45,Linear Regression,LightGBM,0.49405740838005113,0.46776993451776444,-0.02628747386228668,-0.006069874026663591,450.0,0.4531696623928383,-0.13043478260869565,LightGBM,0.5209830274073965,False
log_GVA_2025_predicted,MSOA_primary,45,Linear Regression,XGBoost,0.49405740838005113,0.4543592933179846,-0.0396981150620665,-0.032910355324471396,367.0,0.09058088634230899,-0.29082125603864734,XGBoost,0.36232354536923594,False
log_GVA_2025_predicted,MSOA_primary,45,Linear Regression,TabPFN,0.49405740838005113,0.4286629638316102,-0.06539444454844083,-0.051341720216564135,301.0,0.013749901573930856,-0.41835748792270533,TabPFN,0.08249940944358514,False
log_GVA_2025_predicted,MSOA_primary,45,LightGBM,XGBoost,0.46776993451776444,0.4543592933179846,-0.013410641199779819,-0.017304627603804912,396.0,0.17366100913579885,-0.23478260869565218,XGBoost,0.5209830274073965,False
log_GVA_2025_predicted,MSOA_primary,45,LightGBM,TabPFN,0.46776993451776444,0.4286629638316102,-0.039106970686154166,-0.04420406301158086,336.0,0.040228857855368005,-0.3507246376811594,TabPFN,0.20114428927684003,False
log_GVA_2025_predicted,MSOA_primary,45,XGBoost,TabPFN,0.4543592933179846,0.4286629638316102,-0.02569632948637435,-0.009460300207138062,406.0,0.21244812435247695,-0.21545893719806763,TabPFN,0.5209830274073965,False
log_GVA_2025_predicted,LSOA_sensitivity,221,Linear Regression,LightGBM,0.49931661847406783,0.46195027981171466,-0.037366338662353206,-0.016116311014416684,10908.0,0.15372482870835497,-0.11067628714687539,LightGBM,0.4611744861250649,False
log_GVA_2025_predicted,LSOA_sensitivity,221,Linear Regression,XGBoost,0.49931661847406783,0.4554290111005997,-0.04388760737346823,-0.03730954092191574,10212.0,0.03093772275424658,-0.167420814479638,XGBoost,0.15468861377123289,False
log_GVA_2025_predicted,LSOA_sensitivity,221,Linear Regression,TabPFN,0.49931661847406783,0.43256706634282827,-0.06674955213123959,-0.05100400400387706,9290.0,0.0017675911751969622,-0.24259100729688965,TabPFN,0.010605547051181774,True
log_GVA_2025_predicted,LSOA_sensitivity,221,LightGBM,XGBoost,0.46195027981171466,0.4554290111005997,-0.006521268711115026,-0.004134931995095403,11773.0,0.6047847033529161,-0.0401532754473931,XGBoost,0.6047847033529161,False
log_GVA_2025_predicted,LSOA_sensitivity,221,LightGBM,TabPFN,0.46195027981171466,0.43256706634282827,-0.029383213468886386,-0.02851143983382709,10439.0,0.05494193602778554,-0.1489136195018548,TabPFN,0.21976774411114217,False
log_GVA_2025_predicted,LSOA_sensitivity,221,XGBoost,TabPFN,0.4554290111005997,0.43256706634282827,-0.02286194475777136,-0.01147749900817896,11064.0,0.20674433720242247,-0.09795768619298031,TabPFN,0.4611744861250649,False
