LSOA21CD,MSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,log_total_GVA_2023,is_swindon
E01015587,E02003236,14.332156814930006,1559.4372186046512,284.3347639484978,4.667381974248926,0.9049483802064792,6839.478180451158,1327.098951905542,0.2565048283261802,1.7113733905579391,13.147693847945769,3.3274073076914,Swindon
E01015588,E02003236,13.973355073743136,1128.1147504816956,301.8223234624146,13.667425968109349,0.9049483802064792,7923.822350455243,4125.134261445305,0.09491268033409259,5.011389521640093,14.324073061081513,2.7833431851376416,Swindon
E01032700,E02006847,10.595241350789669,33.12048384742952,124.65373961218837,19.113573407202214,0.8730864197530864,1195.606305504579,2382.5784025598327,0.011871784724970297,8.687987912364642,0.0001196992750617284,2.2302294308019053,Swindon
E01032701,E02006848,10.350996509356598,32.25485183505155,164.83516483516485,19.780219780219777,0.8786848072562359,410.9215753310109,3260.475787948315,0.078492936,8.683998927901365,16.50508671340448,2.408115594203509,Swindon
E01032702,E02006848,11.289827532240475,83.16283739085239,147.99154334038056,20.01409443269909,0.8786848072562359,813.8407689414549,2961.9167236552566,0.04598308665,8.7866756045996,40.578074855880665,2.6116861328191265,Swindon
E01032703,E02006847,11.760917059526548,113.6027625,136.28104179285282,18.413082980012113,0.8730864197530864,937.7830630383152,2509.354131134298,0.20189783969311517,8.369583172732778,14.37776974135369,2.1652751420294387,Swindon
E01032704,E02006848,12.616248057717657,211.81688299367536,105.9001512859304,15.532022188603126,0.8786848072562359,2400.1606845636775,1644.8434995494988,0.0661875945,6.818936570606249,11.30229352405229,2.696180028531723,Swindon
E01032705,E02006847,13.590347208294045,711.5836737994453,137.19512195121953,17.500000000000007,0.8730864197530864,3133.519388429997,2400.914634146343,0.01761517615176151,7.954545454545457,7.987196902711418,2.180982271234797,Swindon
E01032706,E02003232,11.556249508513618,87.38629548117154,203.7712895377129,26.034063260340638,0.9048442906574394,1915.4656081023036,5304.994642466006,0.022810219,10.590127427935176,6.608021080216263,2.2726412166209737,Swindon
E01032707,E02003232,11.982023405453686,118.58616869436202,159.29624346172133,31.24108416547789,0.9048442906574394,356.26566219650823,4976.587349232093,0.24964336661911551,12.708237626635075,15.718864518982175,3.735953861499865,Swindon
E01032708,E02003223,14.07516965753958,930.7157487437186,439.0243902439025,18.37398373972087,0.9096174363664076,1430.9732635720745,8066.627007682334,0.2168021680216802,4.800410166233379,11.418291438244331,4.3186740766706055,Swindon
