FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
14752,E01015535,Swindon 024C, ,416292,182471,51.54091,-1.76647,4703f427-1dd8-4748-8e63-6e7f58d6115c,355.5749999999999,280,5.873736197456291,5.634789603169249,0.4970421640207654
14753,E01015537,Swindon 020A, ,417647,184404,51.55825,-1.74683,6ec4430b-6c31-4809-938d-80e579428812,18.395,138,2.9120788885567377,4.927253685157205,0.46424193088138077
14754,E01015538,Swindon 016A, ,417656,184734,51.56121,-1.74669,7037ec67-2110-466f-99e8-9db67a3d948a,11.931999999999999,82,2.479223866652502,4.406719247264253,0.4757332517258669
14755,E01015539,Swindon 020B, ,417768,183527,51.55036,-1.74513,b1b138de-5a9c-4a74-8712-9c39952027a5,7.161,7,1.9686496360248027,1.9459101490553132,0.44913974423458136
14756,E01015540,Swindon 020C, ,417179,183931,51.55401,-1.75361,349eacc5-a74c-4a11-813d-5f38a27e2191,14.423000000000002,145,2.6688241546013733,4.976733742420574,0.47475143892735217
14757,E01015541,Swindon 020D, ,417477,183675,51.5517,-1.74932,6dde65be-600f-4e4d-8501-29590ab3f7b1,15.903000000000002,201,2.766507770673779,5.303304908059076,0.4579457655250927
14758,E01015542,Swindon 020E, ,417103,183410,51.54933,-1.75473,5869a512-1173-4be2-8636-c93ca01b4008,6.362000000000001,3,1.8503427933269525,1.0986122886681098,0.4675602983073831
14759,E01015543,Swindon 003A, ,414964,187820,51.58904,-1.78539,ab73e238-bc8e-4ce4-9bbe-23dddad51d84,14.003999999999996,139,2.639343003092419,4.9344739331306915,0.5977457403423594
14760,E01015544,Swindon 003B, ,415454,188034,51.59095,-1.77831,22120e09-e289-4ce4-afc5-d1a2e6e979a2,7.755000000000002,26,2.0483377966285023,3.258096538021482,0.6180886125444489
14761,E01015545,Swindon 003C, ,415155,188535,51.59546,-1.7826,da617ad4-1295-4fa8-91e2-ea23779e6582,8.356,90,2.1229798436943192,4.499809670330265,0.5050002748090192
14762,E01015546,Swindon 003D, ,414904,188267,51.59306,-1.78624,fce95f24-bcec-472f-aad7-4526cfa7b292,7.830000000000001,15,2.057962510002712,2.70805020110221,0.4570831025197352
14763,E01015547,Swindon 008C, ,421674,180661,51.52445,-1.68897,22686d62-62d1-42fc-8b11-e0b12a37e331,317.0090000000001,5510,5.758930164641452,8.61431990214696,0.48800089467211943
14764,E01015548,Swindon 008D, ,422643,183384,51.5489,-1.67483,625ab178-8555-48e4-8d17-f2133d5bf1f6,317.0090000000001,179,5.758930164641452,5.187385805840755,0.47889518068478815
14765,E01015549,Swindon 009A, ,417149,186227,51.57465,-1.75393,b0f3cb63-a01c-4e77-b73c-a00bffff19f6,458.8000000000001,1777,6.128614385255216,7.482681828154651,0.7365112694774917
14766,E01015550,Swindon 009B, ,417585,185624,51.56922,-1.74767,268e6c0a-7d25-4104-a7eb-1b85be22a70b,48.753999999999984,474,3.886787245359885,6.161207321695077,0.5539484621740246
14767,E01015551,Swindon 009C, ,418421,187060,51.5821,-1.73553,c4fb0629-463f-44ae-80e5-e70ed7237b80,458.8000000000001,3668,6.128614385255216,8.207401833376355,0.5886316806309075
14768,E01015552,Swindon 009D, ,417575,188228,51.59263,-1.74768,36b62a5e-b3e1-463a-81fc-362443f490c6,185.91099999999992,1823,5.225268064574461,7.508238774678663,0.7700989216314379
14769,E01015553,Swindon 009E, ,417880,187248,51.58381,-1.74333,64623222-991b-4083-b50f-cb9e029b2d08,11.989999999999998,74,2.4840729690394228,4.30406509320417,0.6726775984565982
14770,E01015554,Swindon 009F, ,417658,186758,51.57941,-1.74656,046da4d6-1134-4067-a211-4bed4d121187,12.272,90,2.5073202446249003,4.499809670330265,0.6607561988539171
14771,E01015555,Swindon 005A, ,416112,187956,51.59023,-1.76881,3a188839-abc3-4b2c-b3a3-ec7d448d81d1,12.777,103,2.547646679609186,4.634728988229636,0.7806106201703543
14772,E01015556,Swindon 005B, ,416037,188480,51.59494,-1.76987,47908225-6199-4040-b9b7-25d23cdb7482,25.610999999999997,200,3.243021946696279,5.298317366548036,0.7387385196403304
