rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,bottleneck_label,IPI_indirect_low,IPI_commute_down,IPI_uniform_lever
73,E01015518,E02006849,0.2996535620213061,0.07272630401193457,firm_size_diversity,Firm-size diversity,0.04848420267462304,0.09211998508178379,0.09211998508178379
74,E01033846,E02003226,0.3282887523478779,0.0664926208109116,firm_size_diversity,Firm-size diversity,0.10741115669454954,0.05114816985454739,0.05114816985454739
75,E01015543,E02003214,0.0194905006307255,0.05754169108636582,firm_size_diversity,Firm-size diversity,0.0767222547818211,0.047951409238638186,0.047951409238638186
76,E01015541,E02003231,0.0466817358569828,0.041557888006819754,firm_size_diversity,Firm-size diversity,0.0450210453407214,0.06233683201022963,0.06233683201022963
77,E01015554,E02003220,0.2994634315225606,0.03836112739091054,lsoa_local_worker_share,Local worker share,0.057541691086365816,0.03836112739091054,0.03836112739091054
78,E01015553,E02003220,0.2683119320073301,0.027811817358410144,employment_quality,Employment quality,0.0324471202514785,0.023176514465341785,0.023176514465341785
79,E01015486,E02003224,0.0062813060718029,0.015451009643561189,firm_size_diversity,Firm-size diversity,0.024721615429697905,0.012360807714848952,0.012360807714848952
80,E01015480,E02003226,0.1693272525973195,0.012147690340455005,firm_size_diversity,Firm-size diversity,0.02429538068091001,0.012147690340455005,0.012147690340455005
81,E01015517,E02003215,0.4036473707954959,0.005594331077841121,firm_size_diversity,Firm-size diversity,0.005594331077841121,0.005594331077841121,0.005594331077841121
82,E01015482,E02003224,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
83,E01015481,E02003224,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
84,E01015475,E02003226,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
85,E01015478,E02003232,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
86,E01015473,E02003219,0.0,0.0,qualification_index,Qualification index,0.0,0.0,0.0
87,E01015471,E02006849,0.0,0.0,employment_quality,Employment quality,0.0,0.0,0.0
88,E01015538,E02003231,0.0,0.0,employment_quality,Employment quality,0.0,0.0,0.0
89,E01015540,E02003231,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
90,E01015496,E02003230,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
91,E01015491,E02003234,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
92,E01015501,E02003233,0.0,0.0,lsoa_same_lsoa_work_share,Same-LSOA work share,0.0,0.0,0.0
93,E01015503,E02003233,0.0,0.0,lsoa_home_or_no_fixed_share,Home/no-fixed share,0.0,0.0,0.0
94,E01015506,E02003218,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
95,E01015484,E02003224,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
96,E01015492,E02003234,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
97,E01015493,E02003228,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
98,E01015527,E02003218,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
99,E01015526,E02003217,0.0,0.0,employment_quality,Employment quality,0.0,0.0,0.0
100,E01015529,E02003217,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
101,E01015521,E02003212,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
102,E01015530,E02003217,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
103,E01015504,E02003229,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
104,E01015509,E02003221,0.0,0.0,lsoa_home_or_no_fixed_share,Home/no-fixed share,0.0,0.0,0.0
105,E01015512,E02006849,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
106,E01015549,E02003220,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
107,E01015548,E02003219,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
108,E01015547,E02003219,0.0,0.0,lsoa_inbound_to_swindon_share,Inbound to Swindon share,0.0,0.0,0.0
109,E01015534,E02003235,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
110,E01015537,E02003231,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
111,E01015535,E02003235,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
112,E01015582,E02003223,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
113,E01015573,E02003227,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
114,E01015570,E02003233,0.0,0.0,lsoa_same_lsoa_work_share,Same-LSOA work share,0.0,0.0,0.0
115,E01015568,E02003225,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
116,E01015551,E02003220,0.0,0.0,sme_qual_interaction,SME x qualification,0.0,0.0,0.0
117,E01015552,E02003220,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
118,E01015556,E02003216,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
119,E01015560,E02003216,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
120,E01015562,E02003222,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
121,E01015564,E02003225,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
122,E01015555,E02003216,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
123,E01015581,E02003223,0.0,0.0,qualification_index,Qualification index,0.0,0.0,0.0
124,E01015580,E02003218,0.0,0.0,employment_quality,Employment quality,0.0,0.0,0.0
125,E01015578,E02003223,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
126,E01015575,E02003227,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
127,E01015576,E02003228,0.0,0.0,sme_density,SME density,0.0,0.0,0.0
128,E01015572,E02003227,0.0,0.0,employment_quality,Employment quality,0.0,0.0,0.0
129,E01032702,E02006848,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
130,E01032710,E02006849,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
131,E01032704,E02006848,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
132,E01032716,E02003223,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
133,E01032714,E02003230,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
134,E01033843,E02003219,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
135,E01033841,E02003219,0.0,0.0,lsoa_same_lsoa_work_share,Same-LSOA work share,0.0,0.0,0.0
136,E01033848,E02003235,0.0,0.0,lsoa_local_worker_share,Local worker share,0.0,0.0,0.0
137,E01033847,E02003235,0.0,0.0,firm_size_diversity,Firm-size diversity,0.0,0.0,0.0
